Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Season,Review Rating,Subscription Status,Payment Method,Previous Purchases,Category_Avg_Purchase,Location_Total_Revenue,Item_Avg_Rating,Payment_Method_Count
55,Male,Blouse,Clothing,53,Kentucky,Winter,3.1,Yes,Credit Card,14,60.025331030512376,4402,3.683625730994152,696
19,Male,Sweater,Clothing,64,Maine,Winter,3.1,Yes,Bank Transfer,2,60.025331030512376,4388,3.767073170731707,632
50,Male,Jeans,Clothing,73,Massachusetts,Spring,3.1,Yes,Cash,23,60.025331030512376,4384,3.648387096774193,648
21,Male,Sandals,Footwear,90,Rhode Island,Spring,3.5,Yes,PayPal,49,60.25542570951586,3871,3.84125,638
45,Male,Blouse,Clothing,49,Oregon,Spring,2.7,Yes,Cash,31,60.025331030512376,4243,3.683625730994152,648
46,Male,Sneakers,Footwear,20,Wyoming,Summer,2.9,Yes,Venmo,14,60.25542570951586,4309,3.7579310344827586,653
63,Male,Shirt,Clothing,85,Montana,Fall,3.2,Yes,Debit Card,49,60.025331030512376,5784,3.629585798816568,633
27,Male,Shorts,Clothing,34,Louisiana,Winter,3.2,Yes,Debit Card,19,60.025331030512376,4848,3.7114649681528666,633
26,Male,Coat,Outerwear,97,West Virginia,Summer,2.6,Yes,Venmo,8,57.17283950617284,5174,3.730434782608696,653
57,Male,Handbag,Accessories,31,Missouri,Spring,4.8,Yes,PayPal,4,59.83870967741935,4691,3.775163398692811,638
53,Male,Shoes,Footwear,34,Arkansas,Fall,4.1,Yes,Credit Card,26,60.25542570951586,4828,3.7473333333333336,696
30,Male,Shorts,Clothing,68,Hawaii,Winter,4.9,Yes,PayPal,10,60.025331030512376,3752,3.7114649681528666,638
61,Male,Coat,Outerwear,72,Delaware,Winter,4.5,Yes,PayPal,37,57.17283950617284,4758,3.730434782608696,638
65,Male,Dress,Clothing,51,New Hampshire,Spring,4.7,Yes,Debit Card,31,60.025331030512376,4219,3.7548192771084334,633
64,Male,Coat,Outerwear,53,New York,Winter,4.7,Yes,PayPal,34,57.17283950617284,5257,3.730434782608696,638
64,Male,Skirt,Clothing,81,Rhode Island,Winter,2.8,Yes,Credit Card,8,60.025331030512376,3871,3.7822784810126584,696
25,Male,Sunglasses,Accessories,36,Alabama,Spring,4.1,Yes,Venmo,44,59.83870967741935,5261,3.7447204968944097,653
53,Male,Dress,Clothing,38,Mississippi,Winter,4.7,Yes,Debit Card,36,60.025331030512376,4883,3.7548192771084334,633
52,Male,Sweater,Clothing,48,Montana,Summer,4.6,Yes,Bank Transfer,17,60.025331030512376,5784,3.767073170731707,632
66,Male,Pants,Clothing,90,Rhode Island,Summer,3.3,Yes,Venmo,46,60.025331030512376,3871,3.7187134502923977,653
21,Male,Pants,Clothing,51,Louisiana,Winter,2.8,Yes,Credit Card,50,60.025331030512376,4848,3.7187134502923977,696
31,Male,Pants,Clothing,62,North Carolina,Winter,4.1,Yes,Credit Card,22,60.025331030512376,4742,3.7187134502923977,696
56,Male,Pants,Clothing,37,California,Summer,3.2,Yes,Cash,32,60.025331030512376,5605,3.7187134502923977,648
31,Male,Pants,Clothing,88,Oklahoma,Winter,4.4,Yes,Credit Card,40,60.025331030512376,4376,3.7187134502923977,696
18,Male,Jacket,Outerwear,22,Florida,Fall,2.9,Yes,Cash,16,57.17283950617284,3798,3.76319018404908,648
18,Male,Hoodie,Clothing,25,Texas,Summer,3.6,Yes,Bank Transfer,14,60.025331030512376,4712,3.7192052980132453,632
38,Male,Jewelry,Accessories,20,Nevada,Spring,3.6,Yes,Cash,13,59.83870967741935,5514,3.756140350877193,648
56,Male,Shorts,Clothing,56,Kentucky,Summer,5.0,Yes,Debit Card,7,60.025331030512376,4402,3.7114649681528666,633
54,Male,Handbag,Accessories,94,North Carolina,Fall,4.4,Yes,Debit Card,41,59.83870967741935,4742,3.775163398692811,633
31,Male,Dress,Clothing,48,Wyoming,Fall,4.1,Yes,Venmo,14,60.025331030512376,4309,3.7548192771084334,653
57,Male,Jewelry,Accessories,31,North Carolina,Winter,4.7,Yes,Bank Transfer,16,59.83870967741935,4742,3.756140350877193,632
33,Male,Dress,Clothing,79,West Virginia,Winter,4.7,Yes,Venmo,45,60.025331030512376,5174,3.7548192771084334,653
36,Male,Jacket,Outerwear,67,Kansas,Summer,4.9,Yes,Bank Transfer,37,57.17283950617284,3437,3.76319018404908,632
54,Male,Pants,Clothing,38,Colorado,Summer,3.3,Yes,Venmo,45,60.025331030512376,4222,3.7187134502923977,653
36,Male,T-shirt,Clothing,91,North Dakota,Spring,4.6,Yes,Debit Card,38,60.025331030512376,5220,3.7829931972789117,633
54,Male,Blouse,Clothing,33,Massachusetts,Summer,4.0,Yes,Bank Transfer,48,60.025331030512376,4384,3.683625730994152,632
35,Male,T-shirt,Clothing,69,Illinois,Winter,4.6,Yes,Cash,44,60.025331030512376,5617,3.7829931972789117,648
35,Male,Jeans,Clothing,45,Indiana,Summer,2.8,Yes,Debit Card,10,60.025331030512376,4655,3.648387096774193,633
29,Male,Dress,Clothing,37,Florida,Winter,3.7,Yes,Debit Card,44,60.025331030512376,3798,3.7548192771084334,633
70,Male,Pants,Clothing,60,Arizona,Summer,4.2,Yes,Bank Transfer,18,60.025331030512376,4326,3.7187134502923977,632
69,Male,Handbag,Accessories,76,Louisiana,Winter,4.6,Yes,PayPal,31,59.83870967741935,4848,3.775163398692811,638
67,Male,Scarf,Accessories,39,Alaska,Spring,4.5,Yes,Cash,40,59.83870967741935,4867,3.6999999999999997,648
20,Male,Coat,Outerwear,100,Tennessee,Spring,4.1,Yes,Bank Transfer,15,57.17283950617284,4772,3.730434782608696,632
25,Male,Scarf,Accessories,69,Ohio,Fall,3.7,Yes,PayPal,19,59.83870967741935,4649,3.6999999999999997,638
39,Male,Hat,Accessories,53,Kentucky,Summer,4.6,Yes,Bank Transfer,45,59.83870967741935,4402,3.806493506493507,632
50,Male,Socks,Clothing,21,Tennessee,Fall,2.9,Yes,Venmo,25,60.025331030512376,4772,3.750943396226415,653
57,Male,Shirt,Clothing,43,California,Summer,2.9,Yes,Venmo,45,60.025331030512376,5605,3.629585798816568,653
55,Male,Jewelry,Accessories,54,Montana,Winter,4.5,Yes,Debit Card,36,59.83870967741935,5784,3.756140350877193,633
42,Male,Shirt,Clothing,55,Nevada,Summer,2.7,Yes,Debit Card,38,60.025331030512376,5514,3.629585798816568,633
68,Male,Hoodie,Clothing,30,New Jersey,Spring,4.6,Yes,Bank Transfer,34,60.025331030512376,3802,3.7192052980132453,632
49,Male,Blouse,Clothing,28,Maryland,Spring,3.7,Yes,Cash,39,60.025331030512376,4795,3.683625730994152,648
59,Male,Skirt,Clothing,59,Vermont,Winter,4.7,Yes,PayPal,7,60.025331030512376,4860,3.7822784810126584,638
42,Male,T-shirt,Clothing,20,Alaska,Summer,2.6,Yes,Credit Card,26,60.025331030512376,4867,3.7829931972789117,696
29,Male,Skirt,Clothing,24,Mississippi,Winter,3.9,Yes,Debit Card,35,60.025331030512376,4883,3.7822784810126584,633
47,Male,Coat,Outerwear,94,New Mexico,Summer,4.2,Yes,Bank Transfer,35,57.17283950617284,5014,3.730434782608696,632
40,Male,Jacket,Outerwear,28,South Carolina,Winter,3.0,Yes,Venmo,49,57.17283950617284,4439,3.76319018404908,653
41,Male,Backpack,Accessories,73,Mississippi,Summer,4.7,Yes,PayPal,46,59.83870967741935,4883,3.7524475524475527,638
21,Male,Coat,Outerwear,64,West Virginia,Summer,4.4,Yes,PayPal,17,57.17283950617284,5174,3.730434782608696,638
69,Male,Hoodie,Clothing,54,Missouri,Summer,4.2,Yes,Credit Card,29,60.025331030512376,4691,3.7192052980132453,696
63,Male,Belt,Accessories,79,Louisiana,Spring,4.6,Yes,Debit Card,4,59.83870967741935,4848,3.761490683229814,633
50,Male,Sweater,Clothing,37,Idaho,Summer,4.0,Yes,Credit Card,17,60.025331030512376,5587,3.767073170731707,696
55,Male,Scarf,Accessories,68,Texas,Winter,4.7,Yes,Bank Transfer,21,59.83870967741935,4712,3.6999999999999997,632
30,Male,Sneakers,Footwear,21,Mississippi,Spring,3.8,Yes,Credit Card,31,60.25542570951586,4883,3.7579310344827586,696
33,Male,Sunglasses,Accessories,79,Arizona,Winter,2.7,Yes,Credit Card,43,59.83870967741935,4326,3.7447204968944097,696
65,Male,Boots,Footwear,83,Alabama,Fall,4.8,Yes,PayPal,18,60.25542570951586,5261,3.8125,638
65,Male,Backpack,Accessories,36,New Jersey,Spring,4.8,Yes,Credit Card,44,59.83870967741935,3802,3.7524475524475527,696
31,Male,Blouse,Clothing,94,Pennsylvania,Winter,4.7,Yes,Bank Transfer,3,60.025331030512376,4926,3.683625730994152,632
45,Male,Coat,Outerwear,33,Connecticut,Winter,4.4,Yes,PayPal,49,57.17283950617284,4226,3.730434782608696,638
